Order_Item_ID,Order_ID,Product_ID,Quantity,Product_Name,Category,Unit_Price,Stock,Line_Total,Customer_ID,Order_Date,Status,Name,Email,City,Join_Date,Month,Week,Weekday
66,33,7,3,USB Cable,Accessories,200,42,600,26,2024-02-21,Cancelled,Customer_26,customer26@email.com,Bangalore,2023-03-17,February,8,Wednesday
67,33,8,3,Router,Networking,3500,57,10500,26,2024-02-21,Cancelled,Customer_26,customer26@email.com,Bangalore,2023-03-17,February,8,Wednesday
68,34,1,1,Laptop,Electronics,50000,37,50000,99,2024-02-01,Delivered,Customer_99,customer99@email.com,Delhi,2023-10-22,February,5,Thursday
69,34,8,3,Router,Networking,3500,57,10500,99,2024-02-01,Delivered,Customer_99,customer99@email.com,Delhi,2023-10-22,February,5,Thursday
70,35,1,2,Laptop,Electronics,50000,37,100000,50,2024-01-04,Delivered,Customer_50,customer50@email.com,Chennai,2023-05-28,January,1,Thursday
71,35,3,3,Keyboard,Accessories,1500,82,4500,50,2024-01-04,Delivered,Customer_50,customer50@email.com,Chennai,2023-05-28,January,1,Thursday
72,36,2,2,Mouse,Accessories,500,16,1000,25,2024-01-30,Delivered,Customer_25,customer25@email.com,Mumbai,2023-03-14,January,5,Tuesday
73,36,1,2,Laptop,Electronics,50000,37,100000,25,2024-01-30,Delivered,Customer_25,customer25@email.com,Mumbai,2023-03-14,January,5,Tuesday
74,37,6,3,Webcam,Accessories,3000,43,9000,24,2024-02-06,Delivered,Customer_24,customer24@email.com,Mumbai,2023-03-11,February,6,Tuesday
75,37,4,1,Monitor,Electronics,15000,81,15000,24,2024-02-06,Delivered,Customer_24,customer24@email.com,Mumbai,2023-03-11,February,6,Tuesday
76,38,7,3,USB Cable,Accessories,200,42,600,13,2024-01-23,Delivered,Customer_13,customer13@email.com,Pune,2023-02-06,January,4,Tuesday
77,39,10,2,Printer,Office,8000,71,16000,60,2024-02-08,Delivered,Customer_60,customer60@email.com,Delhi,2023-06-27,February,6,Thursday
78,39,3,2,Keyboard,Accessories,1500,82,3000,60,2024-02-08,Delivered,Customer_60,customer60@email.com,Delhi,2023-06-27,February,6,Thursday
79,39,2,4,Mouse,Accessories,500,16,2000,60,2024-02-08,Delivered,Customer_60,customer60@email.com,Delhi,2023-06-27,February,6,Thursday
80,40,7,3,USB Cable,Accessories,200,42,600,7,2024-02-14,Processing,Customer_7,customer7@email.com,Bangalore,2023-01-19,February,7,Wednesday
81,41,7,1,USB Cable,Accessories,200,42,200,57,2024-01-15,Delivered,Customer_57,customer57@email.com,Chennai,2023-06-18,January,3,Monday
82,41,8,1,Router,Networking,3500,57,3500,57,2024-01-15,Delivered,Customer_57,customer57@email.com,Chennai,2023-06-18,January,3,Monday
83,42,7,3,USB Cable,Accessories,200,42,600,36,2024-02-12,Delivered,Customer_36,customer36@email.com,Pune,2023-04-16,February,7,Monday
84,43,8,2,Router,Networking,3500,57,7000,45,2024-01-29,Cancelled,Customer_45,customer45@email.com,Delhi,2023-05-13,January,5,Monday
85,43,9,3,External Drive,Storage,4000,32,12000,45,2024-01-29,Cancelled,Customer_45,customer45@email.com,Delhi,2023-05-13,January,5,Monday
86,43,5,3,Headphones,Accessories,2000,21,6000,45,2024-01-29,Cancelled,Customer_45,customer45@email.com,Delhi,2023-05-13,January,5,Monday
87,44,1,4,Laptop,Electronics,50000,37,200000,20,2024-02-05,Processing,Customer_20,customer20@email.com,Chennai,2023-02-27,February,6,Monday
88,44,8,2,Router,Networking,3500,57,7000,20,2024-02-05,Processing,Customer_20,customer20@email.com,Chennai,2023-02-27,February,6,Monday
89,44,3,4,Keyboard,Accessories,1500,82,6000,20,2024-02-05,Processing,Customer_20,customer20@email.com,Chennai,2023-02-27,February,6,Monday
90,45,8,2,Router,Networking,3500,57,7000,65,2024-01-13,Delivered,Customer_65,customer65@email.com,Delhi,2023-07-12,January,2,Saturday
91,45,4,4,Monitor,Electronics,15000,81,60000,65,2024-01-13,Delivered,Customer_65,customer65@email.com,Delhi,2023-07-12,January,2,Saturday
92,46,6,1,Webcam,Accessories,3000,43,3000,8,2024-02-01,Delivered,Customer_8,customer8@email.com,Bangalore,2023-01-22,February,5,Thursday
93,47,7,4,USB Cable,Accessories,200,42,800,16,2024-01-07,Delivered,Customer_16,customer16@email.com,Delhi,2023-02-15,January,1,Sunday
94,47,2,3,Mouse,Accessories,500,16,1500,16,2024-01-07,Delivered,Customer_16,customer16@email.com,Delhi,2023-02-15,January,1,Sunday
95,48,7,1,USB Cable,Accessories,200,42,200,14,2024-02-28,Delivered,Customer_14,customer14@email.com,Delhi,2023-02-09,February,9,Wednesday
96,48,7,1,USB Cable,Accessories,200,42,200,14,2024-02-28,Delivered,Customer_14,customer14@email.com,Delhi,2023-02-09,February,9,Wednesday
97,49,3,4,Keyboard,Accessories,1500,82,6000,76,2024-02-20,Delivered,Customer_76,customer76@email.com,Delhi,2023-08-14,February,8,Tuesday
98,49,2,2,Mouse,Accessories,500,16,1000,76,2024-02-20,Delivered,Customer_76,customer76@email.com,Delhi,2023-08-14,February,8,Tuesday
99,49,1,3,Laptop,Electronics,50000,37,150000,76,2024-02-20,Delivered,Customer_76,customer76@email.com,Delhi,2023-08-14,February,8,Tuesday
100,50,4,3,Monitor,Electronics,15000,81,45000,87,2024-01-22,Delivered,Customer_87,customer87@email.com,Mumbai,2023-09-16,January,4,Monday
101,51,2,3,Mouse,Accessories,500,16,1500,15,2024-01-28,Delivered,Customer_15,customer15@email.com,Chennai,2023-02-12,January,4,Sunday
102,51,7,3,USB Cable,Accessories,200,42,600,15,2024-01-28,Delivered,Customer_15,customer15@email.com,Chennai,2023-02-12,January,4,Sunday
103,52,5,2,Headphones,Accessories,2000,21,4000,92,2024-01-02,Delivered,Customer_92,customer92@email.com,Mumbai,2023-10-01,January,1,Tuesday
104,53,9,2,External Drive,Storage,4000,32,8000,98,2024-02-11,Cancelled,Customer_98,customer98@email.com,Delhi,2023-10-19,February,6,Sunday
105,53,5,4,Headphones,Accessories,2000,21,8000,98,2024-02-11,Cancelled,Customer_98,customer98@email.com,Delhi,2023-10-19,February,6,Sunday
106,54,4,2,Monitor,Electronics,15000,81,30000,66,2024-02-14,Cancelled,Customer_66,customer66@email.com,Chennai,2023-07-15,February,7,Wednesday
107,54,6,4,Webcam,Accessories,3000,43,12000,66,2024-02-14,Cancelled,Customer_66,customer66@email.com,Chennai,2023-07-15,February,7,Wednesday
108,54,8,1,Router,Networking,3500,57,3500,66,2024-02-14,Cancelled,Customer_66,customer66@email.com,Chennai,2023-07-15,February,7,Wednesday
109,55,8,3,Router,Networking,3500,57,10500,32,2024-02-26,Delivered,Customer_32,customer32@email.com,Chennai,2023-04-04,February,9,Monday
110,55,7,4,USB Cable,Accessories,200,42,800,32,2024-02-26,Delivered,Customer_32,customer32@email.com,Chennai,2023-04-04,February,9,Monday
111,56,2,3,Mouse,Accessories,500,16,1500,87,2024-02-22,Delivered,Customer_87,customer87@email.com,Mumbai,2023-09-16,February,8,Thursday
112,57,9,4,External Drive,Storage,4000,32,16000,63,2024-01-06,Delivered,Customer_63,customer63@email.com,Pune,2023-07-06,January,1,Saturday
113,58,9,3,External Drive,Storage,4000,32,12000,86,2024-01-28,Shipped,Customer_86,customer86@email.com,Mumbai,2023-09-13,January,4,Sunday
114,58,9,2,External Drive,Storage,4000,32,8000,86,2024-01-28,Shipped,Customer_86,customer86@email.com,Mumbai,2023-09-13,January,4,Sunday
115,59,4,2,Monitor,Electronics,15000,81,30000,51,2024-01-28,Delivered,Customer_51,customer51@email.com,Chennai,2023-05-31,January,4,Sunday
116,59,10,1,Printer,Office,8000,71,8000,51,2024-01-28,Delivered,Customer_51,customer51@email.com,Chennai,2023-05-31,January,4,Sunday
117,60,2,3,Mouse,Accessories,500,16,1500,25,2024-02-13,Delivered,Customer_25,customer25@email.com,Mumbai,2023-03-14,February,7,Tuesday
118,61,6,2,Webcam,Accessories,3000,43,6000,58,2024-02-13,Processing,Customer_58,customer58@email.com,Delhi,2023-06-21,February,7,Tuesday
119,62,10,4,Printer,Office,8000,71,32000,63,2024-01-20,Shipped,Customer_63,customer63@email.com,Pune,2023-07-06,January,3,Saturday
120,63,6,2,Webcam,Accessories,3000,43,6000,62,2024-01-30,Processing,Customer_62,customer62@email.com,Chennai,2023-07-03,January,5,Tuesday
121,64,5,1,Headphones,Accessories,2000,21,2000,22,2024-01-11,Shipped,Customer_22,customer22@email.com,Pune,2023-03-05,January,2,Thursday
122,65,10,4,Printer,Office,8000,71,32000,58,2024-02-27,Delivered,Customer_58,customer58@email.com,Delhi,2023-06-21,February,9,Tuesday
123,65,7,1,USB Cable,Accessories,200,42,200,58,2024-02-27,Delivered,Customer_58,customer58@email.com,Delhi,2023-06-21,February,9,Tuesday
124,66,6,1,Webcam,Accessories,3000,43,3000,58,2024-02-24,Delivered,Customer_58,customer58@email.com,Delhi,2023-06-21,February,8,Saturday
125,66,9,3,External Drive,Storage,4000,32,12000,58,2024-02-24,Delivered,Customer_58,customer58@email.com,Delhi,2023-06-21,February,8,Saturday
126,67,8,2,Router,Networking,3500,57,7000,86,2024-01-28,Processing,Customer_86,customer86@email.com,Mumbai,2023-09-13,January,4,Sunday
127,67,9,1,External Drive,Storage,4000,32,4000,86,2024-01-28,Processing,Customer_86,customer86@email.com,Mumbai,2023-09-13,January,4,Sunday
128,68,10,1,Printer,Office,8000,71,8000,49,2024-01-25,Processing,Customer_49,customer49@email.com,Delhi,2023-05-25,January,4,Thursday
129,68,1,2,Laptop,Electronics,50000,37,100000,49,2024-01-25,Processing,Customer_49,customer49@email.com,Delhi,2023-05-25,January,4,Thursday
130,68,5,4,Headphones,Accessories,2000,21,8000,49,2024-01-25,Processing,Customer_49,customer49@email.com,Delhi,2023-05-25,January,4,Thursday
131,69,10,2,Printer,Office,8000,71,16000,52,2024-02-08,Delivered,Customer_52,customer52@email.com,Chennai,2023-06-03,February,6,Thursday
132,69,2,4,Mouse,Accessories,500,16,2000,52,2024-02-08,Delivered,Customer_52,customer52@email.com,Chennai,2023-06-03,February,6,Thursday
133,70,1,3,Laptop,Electronics,50000,37,150000,42,2024-02-02,Delivered,Customer_42,customer42@email.com,Mumbai,2023-05-04,February,5,Friday
134,70,5,4,Headphones,Accessories,2000,21,8000,42,2024-02-02,Delivered,Customer_42,customer42@email.com,Mumbai,2023-05-04,February,5,Friday
135,71,10,1,Printer,Office,8000,71,8000,70,2024-01-01,Delivered,Customer_70,customer70@email.com,Chennai,2023-07-27,January,1,Monday
136,71,5,3,Headphones,Accessories,2000,21,6000,70,2024-01-01,Delivered,Customer_70,customer70@email.com,Chennai,2023-07-27,January,1,Monday
137,71,8,3,Router,Networking,3500,57,10500,70,2024-01-01,Delivered,Customer_70,customer70@email.com,Chennai,2023-07-27,January,1,Monday
138,72,7,4,USB Cable,Accessories,200,42,800,15,2024-02-26,Shipped,Customer_15,customer15@email.com,Chennai,2023-02-12,February,9,Monday
139,73,6,2,Webcam,Accessories,3000,43,6000,54,2024-01-27,Cancelled,Customer_54,customer54@email.com,Pune,2023-06-09,January,4,Saturday
140,73,7,3,USB Cable,Accessories,200,42,600,54,2024-01-27,Cancelled,Customer_54,customer54@email.com,Pune,2023-06-09,January,4,Saturday
141,73,8,2,Router,Networking,3500,57,7000,54,2024-01-27,Cancelled,Customer_54,customer54@email.com,Pune,2023-06-09,January,4,Saturday
142,74,5,4,Headphones,Accessories,2000,21,8000,60,2024-02-26,Delivered,Customer_60,customer60@email.com,Delhi,2023-06-27,February,9,Monday
143,74,1,2,Laptop,Electronics,50000,37,100000,60,2024-02-26,Delivered,Customer_60,customer60@email.com,Delhi,2023-06-27,February,9,Monday
144,75,4,3,Monitor,Electronics,15000,81,45000,97,2024-02-21,Delivered,Customer_97,customer97@email.com,Pune,2023-10-16,February,8,Wednesday
145,75,3,4,Keyboard,Accessories,1500,82,6000,97,2024-02-21,Delivered,Customer_97,customer97@email.com,Pune,2023-10-16,February,8,Wednesday
146,75,1,2,Laptop,Electronics,50000,37,100000,97,2024-02-21,Delivered,Customer_97,customer97@email.com,Pune,2023-10-16,February,8,Wednesday
147,76,2,1,Mouse,Accessories,500,16,500,8,2024-01-13,Delivered,Customer_8,customer8@email.com,Bangalore,2023-01-22,January,2,Saturday
148,76,10,2,Printer,Office,8000,71,16000,8,2024-01-13,Delivered,Customer_8,customer8@email.com,Bangalore,2023-01-22,January,2,Saturday
149,76,5,1,Headphones,Accessories,2000,21,2000,8,2024-01-13,Delivered,Customer_8,customer8@email.com,Bangalore,2023-01-22,January,2,Saturday
150,77,8,1,Router,Networking,3500,57,3500,53,2024-02-10,Cancelled,Customer_53,customer53@email.com,Chennai,2023-06-06,February,6,Saturday
151,78,9,1,External Drive,Storage,4000,32,4000,60,2024-01-03,Shipped,Customer_60,customer60@email.com,Delhi,2023-06-27,January,1,Wednesday
152,79,8,2,Router,Networking,3500,57,7000,5,2024-02-08,Shipped,Customer_5,customer5@email.com,Pune,2023-01-13,February,6,Thursday
153,79,9,3,External Drive,Storage,4000,32,12000,5,2024-02-08,Shipped,Customer_5,customer5@email.com,Pune,2023-01-13,February,6,Thursday
154,79,3,3,Keyboard,Accessories,1500,82,4500,5,2024-02-08,Shipped,Customer_5,customer5@email.com,Pune,2023-01-13,February,6,Thursday
155,80,5,4,Headphones,Accessories,2000,21,8000,68,2024-01-06,Delivered,Customer_68,customer68@email.com,Delhi,2023-07-21,January,1,Saturday
156,80,3,2,Keyboard,Accessories,1500,82,3000,68,2024-01-06,Delivered,Customer_68,customer68@email.com,Delhi,2023-07-21,January,1,Saturday
157,81,2,4,Mouse,Accessories,500,16,2000,6,2024-01-08,Delivered,Customer_6,customer6@email.com,Delhi,2023-01-16,January,2,Monday
158,81,3,1,Keyboard,Accessories,1500,82,1500,6,2024-01-08,Delivered,Customer_6,customer6@email.com,Delhi,2023-01-16,January,2,Monday
159,82,1,1,Laptop,Electronics,50000,37,50000,96,2024-01-27,Delivered,Customer_96,customer96@email.com,Bangalore,2023-10-13,January,4,Saturday
160,82,1,2,Laptop,Electronics,50000,37,100000,96,2024-01-27,Delivered,Customer_96,customer96@email.com,Bangalore,2023-10-13,January,4,Saturday
161,82,9,3,External Drive,Storage,4000,32,12000,96,2024-01-27,Delivered,Customer_96,customer96@email.com,Bangalore,2023-10-13,January,4,Saturday
162,83,8,3,Router,Networking,3500,57,10500,94,2024-01-09,Delivered,Customer_94,customer94@email.com,Bangalore,2023-10-07,January,2,Tuesday
163,84,5,1,Headphones,Accessories,2000,21,2000,47,2024-02-06,Processing,Customer_47,customer47@email.com,Delhi,2023-05-19,February,6,Tuesday
164,84,7,1,USB Cable,Accessories,200,42,200,47,2024-02-06,Processing,Customer_47,customer47@email.com,Delhi,2023-05-19,February,6,Tuesday
165,84,6,4,Webcam,Accessories,3000,43,12000,47,2024-02-06,Processing,Customer_47,customer47@email.com,Delhi,2023-05-19,February,6,Tuesday
166,85,8,1,Router,Networking,3500,57,3500,99,2024-02-02,Shipped,Customer_99,customer99@email.com,Delhi,2023-10-22,February,5,Friday
167,85,2,1,Mouse,Accessories,500,16,500,99,2024-02-02,Shipped,Customer_99,customer99@email.com,Delhi,2023-10-22,February,5,Friday
168,86,10,1,Printer,Office,8000,71,8000,55,2024-02-20,Cancelled,Customer_55,customer55@email.com,Bangalore,2023-06-12,February,8,Tuesday
169,86,10,3,Printer,Office,8000,71,24000,55,2024-02-20,Cancelled,Customer_55,customer55@email.com,Bangalore,2023-06-12,February,8,Tuesday
170,86,10,4,Printer,Office,8000,71,32000,55,2024-02-20,Cancelled,Customer_55,customer55@email.com,Bangalore,2023-06-12,February,8,Tuesday
171,87,1,3,Laptop,Electronics,50000,37,150000,40,2024-02-11,Cancelled,Customer_40,customer40@email.com,Delhi,2023-04-28,February,6,Sunday
172,87,10,1,Printer,Office,8000,71,8000,40,2024-02-11,Cancelled,Customer_40,customer40@email.com,Delhi,2023-04-28,February,6,Sunday
173,87,6,2,Webcam,Accessories,3000,43,6000,40,2024-02-11,Cancelled,Customer_40,customer40@email.com,Delhi,2023-04-28,February,6,Sunday
174,88,5,3,Headphones,Accessories,2000,21,6000,52,2024-02-13,Delivered,Customer_52,customer52@email.com,Chennai,2023-06-03,February,7,Tuesday
175,88,9,3,External Drive,Storage,4000,32,12000,52,2024-02-13,Delivered,Customer_52,customer52@email.com,Chennai,2023-06-03,February,7,Tuesday
176,88,8,2,Router,Networking,3500,57,7000,52,2024-02-13,Delivered,Customer_52,customer52@email.com,Chennai,2023-06-03,February,7,Tuesday
177,89,7,1,USB Cable,Accessories,200,42,200,16,2024-01-24,Shipped,Customer_16,customer16@email.com,Delhi,2023-02-15,January,4,Wednesday
178,89,2,3,Mouse,Accessories,500,16,1500,16,2024-01-24,Shipped,Customer_16,customer16@email.com,Delhi,2023-02-15,January,4,Wednesday
179,89,4,3,Monitor,Electronics,15000,81,45000,16,2024-01-24,Shipped,Customer_16,customer16@email.com,Delhi,2023-02-15,January,4,Wednesday
180,90,2,3,Mouse,Accessories,500,16,1500,13,2024-01-15,Processing,Customer_13,customer13@email.com,Pune,2023-02-06,January,3,Monday
181,90,10,3,Printer,Office,8000,71,24000,13,2024-01-15,Processing,Customer_13,customer13@email.com,Pune,2023-02-06,January,3,Monday
182,90,1,2,Laptop,Electronics,50000,37,100000,13,2024-01-15,Processing,Customer_13,customer13@email.com,Pune,2023-02-06,January,3,Monday
183,91,8,3,Router,Networking,3500,57,10500,30,2024-02-28,Shipped,Customer_30,customer30@email.com,Chennai,2023-03-29,February,9,Wednesday
184,91,2,3,Mouse,Accessories,500,16,1500,30,2024-02-28,Shipped,Customer_30,customer30@email.com,Chennai,2023-03-29,February,9,Wednesday
185,91,5,3,Headphones,Accessories,2000,21,6000,30,2024-02-28,Shipped,Customer_30,customer30@email.com,Chennai,2023-03-29,February,9,Wednesday
186,92,7,3,USB Cable,Accessories,200,42,600,19,2024-02-23,Delivered,Customer_19,customer19@email.com,Mumbai,2023-02-24,February,8,Friday
